,Phylum,Class,Order,Family,Genus,Species
otu436,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Runella,
otu4360,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,
otu4361,p:Actinobacteria,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,
otu4362,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Alkanindiges,
otu4363,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Flavobacterium,
otu4364,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
otu4365,p:Proteobacteria,c:Gammaproteobacteria,o:Methylococcales,f:CABC2E06,,
otu4366,p:Firmicutes,c:Bacilli,o:Bacillales,f:Sporolactobacillaceae,g:Sporolactobacillus,
otu4367,p:Proteobacteria,,,,,
otu4368,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,
otu4369,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,
otu437,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Limnohabitans,
otu4370,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,,,
otu4371,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,f:Polyangiaceae,g:Sorangium,s:myxobacterium_AT3-01
otu4372,p:Verrucomicrobia,c:OPB35_soil_group,,,,
otu4373,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
otu4374,p:Proteobacteria,c:Betaproteobacteria,,,,
otu4375,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:KD3-93,,
otu4376,p:Lentisphaerae,c:PBS-III-20,,,,
otu4377,p:Bacteroidetes,c:Sphingobacteriia,o:Sphingobacteriales,f:Chitinophagaceae,,
otu4378,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,,
otu4379,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,
